name,rating,company_type,employee_count,ownership_status,company_age,head_quarters,reviews,salaries,interviews,jobs,benefits
AIG Hospital,4.3,Healthcare,201-500 Employees,N/A,37 years old,Hyderabad,223,1.1k,12,--,28
Vision India Services,3.4,Recruitment,51-200 Employees,N/A,15 years old,New Delhi,222,1k,15,50,22
Cimpress,4.1,Printing & Publishing,1k-5k Employees,N/A,28 years old,Dundalk,222,1.7k,22,21,43
BridgeLabz Solutions,3.5,EdTech,201-500 Employees,Startup,7 years old,Mumbai,222,452,6,5,78
Adama,4.2,Agro Chemicals,201-500 Employees,N/A,14 years old,Tel Aviv,222,838,10,3,32
Allana Group of Companies,3.8,Food Processing,5k-10k Employees,N/A,158 years old,Mumbai,222,878,8,--,12
Syncfusion,3.6,Software Product,1k-5k Employees,N/A,22 years old,Morrisville,222,1.5k,22,2,40
McNROE,3.8,FMCG,501-1k Employees,N/A,37 years old,Kolkata,222,1.1k,7,2,28
ServiceNow,4.1,Software Product,1k-5k Employees,Public,19 years old,Santa Clara,222,2.6k,38,45,20
Associated Road Carriers,4.2,Urban Transport,1k-5k Employees,N/A,51 years old,Hyderabad/Secunderabad,222,901,12,10,16
SiliconIndia,2.6,Printing & Publishing,1k-5k Employees,N/A,26 years old,Bangalore/Bengaluru,222,1.6k,13,--,10
Aptus Value Housing Finance India,4.3,NBFC,1k-5k Employees,N/A,14 years old,Chennai,222,876,2,--,32
Dixit Infotech Services,4.0,IT Services & Consulting,501-1k Employees,N/A,44 years old,Mumbai,222,1.3k,10,14,20
Health India Tpa Services,3.4,Insurance,51-200 Employees,N/A,21 years old,Mumbai,222,1.3k,13,15,28
Citykart Retail,4.0,Retail,201-500 Employees,Startup,7 years old,Delhi,222,716,8,--,27
Hexagon Capability Center,4.2,IT Services & Consulting,1k-5k Employees,N/A,36 years old,Stockholm,221,2.1k,18,35,62
Azure Power,3.9,Power,501-1k Employees,N/A,15 years old,Delhi,221,1.2k,17,8,39
Madura Micro Finance,4.0,Financial Services,1k-5k Employees,N/A,17 years old,Chennai,221,822,4,--,26
Hofincons Infotech & Industrial Services,3.8,Industrial Machinery,501-1k Employees,N/A,N/A,N/A,221,851,5,--,28
Hexagon Capability Center,4.2,IT Services & Consulting,1k-5k Employees,N/A,36 years old,Stockholm,221,2.1k,18,35,62
Richa Global Export,3.9,Fashion & Textile,10k-50k Employees,N/A,32 years old,Gurgaon/Gurugram,221,1.3k,12,--,19
New Holland Fiat (India),4.3,Auto Components,501-1k Employees,N/A,25 years old,Delhi/NCR,221,760,6,--,33
Thomson Digital,3.9,Printing & Publishing,201-500 Employees,N/A,61 years old,Noida,221,839,8,17,14
ABI Showatech,3.9,Auto Components,1k-5k Employees,N/A,32 years old,Chennai,221,1k,4,--,33
Azure Power,3.9,Power,501-1k Employees,N/A,15 years old,Delhi,221,1.2k,17,8,39
Mahindra Lifespace Developers,4.1,Real Estate,201-500 Employees,Public,29 years old,Mumbai,221,1.2k,10,3,48
Perficient,3.8,IT Services & Consulting,501-1k Employees,N/A,26 years old,St Louis,221,2.6k,13,45,34
Madura Micro Finance,4.0,Financial Services,1k-5k Employees,N/A,17 years old,Chennai,221,822,4,--,26
TravelTriangle,3.7,Internet,51-200 Employees,N/A,13 years old,Noida,221,1.7k,7,17,44
NVH India Auto Parts,3.6,Auto Components,201-500 Employees,N/A,39 years old,Buk-gu,221,1.2k,8,1,47
Incred Finance,4.0,FinTech,501-1k Employees,Startup,7 years old,Mumbai,221,1.6k,8,18,20
Ambuja Neotia,4.1,Real Estate,501-1k Employees,N/A,33 years old,Kolkata,221,934,8,4,26
Copeland,4.1,N/A,N/A,N/A,N/A,N/A,221,891,7,366,1
IVTL Infoview Technologies,3.5,IT Services & Consulting,51-200 Employees,N/A,23 years old,Chennai,220,3.1k,6,--,23
Stanley Black & Decker,3.9,Industrial Machinery,1k-5k Employees,Forbes Global 2000,180 years old,New Britain,220,1.6k,12,37,32
Etisalat,3.4,Telecom,1k-5k Employees,Public,47 years old,Abu Dhabi,220,1.3k,7,--,29
The Louis Berger Group,4.3,Engineering & Construction,10k-50k Employees,N/A,138 years old,Montreal,220,771,10,--,37
CESC,3.8,Power,5k-10k Employees,Public,124 years old,Kolkata,220,1.2k,11,--,41
Shriram Chits,3.8,Financial Services,1k-5k Employees,N/A,49 years old,Mumbai,220,713,5,--,14
The Hershey Company,4.2,Food Processing,201-500 Employees,Forbes Global 2000,129 years old,Derry Township,220,974,6,12,27
Stanley Black & Decker,3.9,Industrial Machinery,1k-5k Employees,Forbes Global 2000,180 years old,New Britain,220,1.6k,12,37,32
Hollister Medical,4.1,Medical Equipment,51-200 Employees,N/A,102 years old,Illinois,220,818,12,--,43
OnsiteGo,4.0,Internet,501-1k Employees,N/A,13 years old,Mumbai,219,957,8,77,36
SISL Infotech,3.5,IT Services & Consulting,501-1k Employees,N/A,16 years old,Delhi/NCR,219,1.8k,7,10,19
MIOT INTERNATIONAL,3.8,Healthcare,501-1k Employees,N/A,24 years old,Chennai,219,1.1k,6,22,19
Studds Accessories,3.2,Auto Components,1k-5k Employees,N/A,40 years old,Faridabad,219,1.2k,16,3,34
MobileComm Technologies India,3.9,Telecom,201-500 Employees,N/A,21 years old,Richardson,219,1.1k,9,2,28
Core Integra Consulting Services,3.6,Recruitment,1k-5k Employees,Conglomerate,12 years old,Mumbai,219,1k,8,19,25
POSCO MAHARASHTRA STEEL,4.2,Iron & Steel,501-1k Employees,N/A,11 years old,Pohang-si,219,1.4k,7,--,38
